
nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Venezuela,28838499,916445,América
Japón,125124000,377975,Asia
Nueva Zelanda,5124100,268021,Oceanía
España,47420000,505990,Europa
Egipto,110990000,1001450,África

